TOTAL,TIME,bTotal
3,2018-04-11,4
5,2018-08-23,4
2,2018-03-16,6
3,2018-05-15,3
6,2018-03-12,2
8,2018-05-03,7
1,2018-06-22,7
10,2018-10-10,4
3,2018-01-19,11
2,2018-02-27,2
26,2018-08-24,1
2,2018-02-23,6
8,2018-09-27,2
53,2018-10-23,4
2,2018-07-21,6
1,2018-09-15,3
2,2018-04-25,3
7,2018-05-25,4
2,2018-08-02,7
2,2018-08-04,7
5,2018-07-28,1
3,2018-10-31,5
2,2018-05-31,4
9,2018-07-20,1
1,2018-08-09,6
2,2018-08-29,3
2,2018-10-07,1
15,2018-10-25,2
2,2018-06-10,2
2,2018-07-29,5
1,2018-03-30,3
2,2018-09-12,
2,2018-02-02,1
5,2018-06-04,7
7,2018-01-10,11
3,2018-01-26,7
2,2018-02-07,5
2,2018-03-28,10
2,2018-06-25,4
2,2018-01-01,4
3,2018-05-21,5
1,2018-01-28,4
1,2018-03-15,3
2,2018-04-28,6
4,2018-06-09,5
2,2018-03-07,6
2,2018-08-30,2
2,2018-02-26,6
6,2018-10-26,8
2,2018-09-29,11
2,2018-06-03,4
3,2018-01-12,7
2,2018-02-17,2
2,2018-04-18,2
1,2018-06-30,4
2,2018-02-06,1
2,2018-03-21,4
3,2018-06-11,3
2,2018-07-09,4
3,2018-08-13,1
3,2018-03-05,9
10,2018-10-29,3
2,2018-02-15,4
29,2018-06-08,6
2,2018-02-09,6
14,2018-08-14,7
4,2018-10-03,8
11,2018-01-16,3
14,2018-04-14,7
1,2018-07-07,5
14,2018-08-18,1
2,2018-09-10,7
14,2018-05-16,7
4,2018-02-16,8
2,2018-09-02,12
6,2018-01-20,4
2,2018-06-23,5
1,2018-10-13,6
4,2018-01-25,1
3,2018-02-05,5
7,2018-10-15,9
2,2018-03-09,4
2,2018-05-29,3
1,2018-07-01,2
2,2018-03-03,7
3,2018-04-13,7
2,2018-06-18,4
2,2018-06-15,8
4,2018-08-07,6
2,2018-10-24,6
4,2018-01-04,4
3,2018-02-18,4
3,2018-05-06,1
22,2018-05-18,6
9,2018-08-20,8
2,2018-06-21,9
5,2018-01-22,4
3,2018-01-17,2
9,2018-02-22,4
4,2018-05-27,7
