predict_label,label
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[1,0],type:1}",0.0
"{values:[0,1],type:1}",1.0
"{values:[0,1],type:1}",1.0
