total,WORKID,TIME
14,107,2018-07-30
27,101,2018-08-04
23,101,2018-10-29
17,101,2018-02-24
10,105,2018-04-08
3,109,2018-09-18
12,105,2018-07-21
16,103,2018-05-05
11,107,2018-10-24
5,107,2018-10-09
10,103,2018-04-05
13,107,2018-06-30
10,107,2018-11-01
1,107,2018-01-06
3,105,2018-05-31
11,105,2018-02-05
22,103,2018-05-31
27,102,2018-02-20
14,107,2018-10-26
8,107,2018-11-07
20,105,2018-04-02
4,105,2018-06-28
7,105,2018-07-03
3,107,2018-07-25
4,105,2018-10-30
33,103,2018-10-12
12,107,2018-10-18
3,105,2018-04-15
8,105,2018-07-18
8,107,2018-10-10
11,107,2018-01-17
19,101,2018-06-27
8,105,2018-01-20
2,107,2018-01-12
7,107,2018-04-25
19,103,2018-11-25
1,107,2018-01-18
2,107,2018-04-08
2,105,2018-02-16
3,105,2018-07-30
3,107,2018-10-13
25,101,2018-10-14
25,101,2018-10-17
13,105,2018-10-27
20,103,2018-01-29
37,101,2018-04-08
26,103,2018-08-21
7,105,2018-08-22
31,101,2018-11-08
5,109,2018-05-21
16,101,2018-11-15
4,107,2018-03-23
3,107,2018-11-16
4,107,2018-02-15
4,109,2018-05-17
1,105,2018-08-16
32,101,2018-06-19
6,106,2018-01-17
1,105,2018-10-14
2,105,2018-02-20
43,103,2018-07-30
17,101,2018-11-06
15,101,2018-05-06
13,101,2018-07-15
3,107,2018-09-19
3,108,2018-01-04
1,107,2018-01-29
13,103,2018-11-21
10,107,2018-01-27
6,107,2018-05-30
33,101,2018-09-17
17,103,2018-10-13
26,103,2018-06-04
1,109,2018-09-28
19,105,2018-09-29
15,103,2018-04-17
9,105,2018-05-02
25,103,2018-05-19
2,107,2018-06-03
11,107,2018-04-13
5,105,2018-04-30
2,105,2018-10-18
9,105,2018-08-14
30,101,2018-04-28
8,107,2018-01-28
23,101,2018-03-27
22,101,2018-07-10
21,101,2018-08-02
1,107,2018-05-08
19,101,2018-06-17
10,105,2018-03-27
3,105,2018-05-17
4,101,2018-11-20
21,105,2018-07-27
26,101,2018-05-28
2,107,2018-10-19
6,105,2018-11-14
1,109,2018-11-27
5,107,2018-02-06
27,101,2018-03-29
