total,CALL_TIME
4,2018-04-11
4,2018-08-23
6,2018-03-16
3,2018-05-15
6,2018-06-22
7,2018-05-03
3,2018-11-13
2,2018-03-12
4,2018-10-10
1,2018-08-24
11,2018-01-19
2,2018-02-27
6,2018-02-23
3,2018-10-23
2,2018-09-27
4,2018-11-26
6,2018-07-21
3,2018-09-15
6,2018-08-02
4,2018-05-25
3,2018-11-12
3,2018-04-25
5,2018-08-04
1,2018-07-28
4,2018-10-31
2,2018-10-25
1,2018-07-20
3,2018-08-29
4,2018-08-09
4,2018-05-31
1,2018-10-07
5,2018-07-29
2,2018-06-10
3,2018-03-30
4,2018-11-23
4,2018-11-11
1,2018-02-02
7,2018-06-04
11,2018-01-10
5,2018-02-07
7,2018-01-26
4,2018-06-25
10,2018-03-28
4,2018-01-01
5,2018-05-21
5,2018-06-09
6,2018-04-28
3,2018-03-15
4,2018-01-28
5,2018-11-02
6,2018-03-07
2,2018-08-30
8,2018-10-26
6,2018-02-26
11,2018-09-29
4,2018-06-03
7,2018-01-12
2,2018-04-18
2,2018-02-17
4,2018-06-30
1,2018-02-06
4,2018-03-21
3,2018-06-11
4,2018-07-09
1,2018-08-13
9,2018-03-05
3,2018-10-29
4,2018-11-27
4,2018-02-15
6,2018-06-08
7,2018-08-14
8,2018-10-03
6,2018-02-09
5,2018-07-07
7,2018-04-14
1,2018-08-18
3,2018-01-16
7,2018-09-10
6,2018-11-17
7,2018-05-16
7,2018-02-16
12,2018-09-02
6,2018-10-13
4,2018-01-20
4,2018-06-23
9,2018-10-15
5,2018-02-05
1,2018-01-25
4,2018-03-09
3,2018-05-29
2,2018-07-01
4,2018-11-05
7,2018-03-03
3,2018-06-18
7,2018-04-13
8,2018-06-15
6,2018-10-24
6,2018-08-07
3,2018-01-04
5,2018-05-18
